epoch,trainingLoss,trainingAccuracy,testLoss,testAccuracy,totalForwardTime,totalBackwardTime,batchForwardTime,batchBackwardTime
0,3.2519,1.67101,nan,2.79605,437.493,2892.76,3.73926,24.7244
1,3.17041,1.50741,nan,2.79605,437.195,2891.77,3.73671,24.716
