epoch,trainingLoss,trainingAccuracy,testLoss,testAccuracy,totalForwardTime,totalBackwardTime,batchForwardTime,batchBackwardTime
0,3.26545,0.993256,nan,1.44231,63.1477,705.693,0.134931,1.50789
1,3.24289,0.909789,nan,1.40224,63.0409,705.659,0.134703,1.50782
