epoch,trainingLoss,trainingAccuracy,testLoss,testAccuracy,totalForwardTime,totalBackwardTime,batchForwardTime,batchBackwardTime
0,3.26901,1.247,nan,2.02508,26.194,97.6908,0.22388,0.834965
1,3.23055,1.16019,nan,2.08676,26.0468,97.6324,0.222622,0.834465
