epoch,trainingLoss,trainingAccuracy,testLoss,testAccuracy,totalForwardTime,totalBackwardTime,batchForwardTime,batchBackwardTime
0,3.28348,1.73444,nan,2.46711,192.178,218.374,1.64255,1.86645
1,3.22587,1.69939,nan,2.44655,190.606,218.156,1.62911,1.86458
