epoch,trainingLoss,trainingAccuracy,testLoss,testAccuracy,totalForwardTime,totalBackwardTime,batchForwardTime,batchBackwardTime
0,3.29487,2.15678,nan,2.21354,480.754,1034.2,1.02725,2.20983
1,3.2058,1.77618,nan,2.24359,476.413,1025.19,1.01798,2.19057
